Run,Event,PID1,Q1,E1,px1,py1,pz1,eta1,phi1,PID2,Q2,E2,px2,py2,pz2,eta2,phi2,PID3,Q3,E3,px3,py3,pz3,eta3,phi3,PID4,Q4,E4,px4,py4,pz4,eta4,phi4
1,36885278,13,-1,18.2858,-5.8337,6.31907,-16.1368,-1.38693,2.31628,13,-1,9.36958,-4.14254,3.78053,-7.50499,-1.10152,2.40185,11,-1,148.64,15.895,-40.6711,-142.081,-1.89578,-1.19823,-11,1,32.3203,0.619603,29.7157,-12.6961,-0.415132,1.54995
1,43723587,13,-1,70.8149,-23.6169,54.4286,38.6588,0.612543,1.98019,-13,1,40.6539,1.69953,-38.0232,14.2853,0.367029,-1.52613,-13,1,6.03187,4.68203,-2.27583,-3.04491,-0.555836,-0.452448,11,-1,11.2055,8.76229,-3.83337,-5.83867,-0.577788,-0.412397
1,23604386,13,-1,109.857,-37.2289,-28.5348,-99.339,-1.49511,-2.48763,-13,1,19.1765,15.2533,5.57146,-10.199,-0.592736,0.350206,-11,1,21.8632,19.8754,1.44398,-8.99365,-0.437246,0.0725242,-11,1,20.6691,-0.195468,7.18865,-19.3778,-1.71718,1.59798
1,17425251,-13,1,69.8702,8.27871,38.4431,-57.7532,-1.17724,1.35869,13,-1,24.1314,-16.4908,-15.8264,7.73889,0.332428,-2.37675,11,-1,75.2187,20.2901,-33.4943,64.2207,1.26996,-1.02614,-11,1,44.0718,11.2956,-18.4747,38.3852,1.33708,-1.02203
1,37383484,13,-1,93.9461,-25.373,33.3739,84.0728,1.44604,2.22084,-13,1,190.733,35.6617,-14.7216,186.79,2.28088,-0.391502,-13,1,7.69011,-2.48558,-6.10213,3.96391,0.570198,-1.95761,13,-1,8.12635,-0.470297,-5.26334,6.17272,0.995404,-1.65991
1,11660177,13,-1,90.6562,-11.0295,-39.8606,80.6723,1.42131,-1.84074,-13,1,69.8877,4.74692,15.9811,67.8701,2.11182,1.28206,-11,1,84.6523,6.20649,17.9123,82.5023,2.17674,1.23725,-11,1,46.5391,7.86559,-14.4441,43.536,1.70051,-1.07214
1,5859923,13,-1,53.8575,-23.9186,47.8444,6.2796,0.117129,2.03438,-13,1,21.7652,1.14362,-20.8233,-6.22856,-0.294394,-1.51593,13,-1,7.09822,6.96348,-0.634788,-1.21677,-0.173148,-0.0909083,-11,1,16.4142,6.9553,-14.8663,-0.21036,-0.0128165,-1.13319
1,17729431,13,-1,12.4688,-0.0921974,-11.86,-3.84623,-0.318863,-1.57857,-11,1,42.6075,-1.87924,39.8203,-15.0401,-0.368859,1.61795,11,-1,64.8574,-21.9974,-11.3148,59.9547,1.61852,-2.66652,-11,1,11.9057,0.264582,-10.8876,-4.81008,-0.428437,-1.5465
1,28232565,13,-1,124.429,31.7136,-12.4412,-119.674,-1.96927,-0.373851,-13,1,31.5564,-26.3835,-12.983,-11.452,-0.380231,-2.68429,-11,1,12.2068,-10.1117,-4.94953,-4.71811,-0.407697,-2.68639,11,-1,11.3722,-9.47481,-4.50596,-4.3876,-0.406877,-2.69768
1,11316103,11,-1,37.5285,9.8171,32.5598,15.8704,0.451206,1.27796,-11,1,26.8504,-1.61398,-25.9795,-6.58837,-0.250484,-1.63284,11,-1,13.789,-2.06781,-12.7941,-4.70864,-0.355765,-1.73103,-11,1,10.3673,-1.47982,-9.63141,-3.53923,-0.35566,-1.72325
