Run,Event,PID1,Q1,E1,px1,py1,pz1,eta1,phi1,PID2,Q2,E2,px2,py2,pz2,eta2,phi2,PID3,Q3,E3,px3,py3,pz3,eta3,phi3,PID4,Q4,E4,px4,py4,pz4,eta4,phi4
1,144808,-13,1,42.6032,38.7788,13.6397,11.1886,0.268924,0.338215,13,-1,24.8966,-6.74233,-23.7981,-2.83235,-0.11426,-1.84688,11,-1,304.016,-218.581,48.9884,-205.544,-0.821886,2.92112,11,-1,97.9511,-46.447,28.53,81.3826,1.19087,2.59076
1,44821,-13,1,109.179,72.8553,-59.6792,-55.2328,-0.55719,-0.686307,-13,1,88.7236,-18.5807,-9.56657,86.227,2.12481,-2.66612,13,-1,16.2318,-15.8748,-1.9486,-2.76657,-0.172125,-3.01946,11,-1,120.892,57.4711,84.9911,-63.9408,-0.588629,0.976222
1,492494,-13,1,101.953,21.1863,24.3761,96.7023,1.81662,0.855294,13,-1,72.1969,-23.3261,2.52947,68.2779,1.78961,3.03358,13,-1,65.1452,-19.0686,-9.30476,61.593,1.78729,-2.68762,-11,1,62.1282,-19.5468,-7.79004,58.4564,1.74583,-2.76235
1,241058,-13,1,19.8672,-1.19538,5.94737,-18.9181,-1.85528,1.76915,11,-1,61.3362,-33.8286,-50.3104,-9.30698,-0.152918,-2.16276,-11,1,56.6526,43.1177,-5.3962,-36.3492,-0.760914,-0.124503,11,-1,110.968,21.0253,-14.9724,-107.924,-2.13775,-0.618809
1,1906,13,-1,53.6265,33.1514,-16.5703,38.7582,0.913368,-0.463518,-13,1,12.8472,9.86453,0.449592,-8.21759,-0.7576,0.0455451,-11,1,365.621,7.03655,172.678,322.198,1.38127,1.53007,11,-1,35.6321,27.8485,-2.67336,-22.0671,-0.723877,-0.0957031
1,363635,13,-1,12.426,-12.3634,1.10595,-0.563874,-0.0454113,3.05238,-11,1,256.658,-43.1045,-75.961,-241.341,-1.7408,-2.08694,-11,1,238.961,35.7977,-38.172,-233.161,-2.19964,-0.817486,-11,1,86.4968,6.07062,51.7495,69.0423,1.09365,1.45402
1,310845,13,-1,53.8781,1.49396,46.0717,27.8927,0.573195,1.53838,13,-1,18.3238,-6.62381,-2.02196,16.9643,1.62832,-2.84532,-11,1,194.658,60.914,-44.3745,-179.477,-1.6023,-0.629584,-11,1,42.7204,-15.9983,-4.48679,39.3568,1.59732,-2.86816
1,349434,13,-1,65.2409,58.1814,25.504,14.8603,0.231843,0.413126,-11,1,90.2363,-88.8637,14.0183,-7.02268,-0.0779832,2.98513,-11,1,24.2062,12.5889,-20.3318,3.75173,0.15625,-1.0164,11,-1,17.9726,9.21101,-15.4327,0.0380289,0.00211595,-1.0327
1,298624,-13,1,47.1538,4.01399,27.7849,37.8861,1.1083,1.42732,-13,1,22.2695,6.37442,3.8236,20.992,1.7613,0.540298,-11,1,28.7523,27.839,-1.18998,7.09003,0.251779,-0.0427192,11,-1,81.9758,19.7818,10.9346,78.7982,1.96193,0.504961
1,445676,13,-1,47.5206,11.5739,30.2938,-34.7351,-0.930764,1.20586,13,-1,19.8612,-8.93653,-5.45914,16.8758,1.25507,-2.59321,-11,1,46.7987,-22.64,-9.91353,39.74,1.25317,-2.72887,-11,1,30.9582,10.8302,-11.1046,26.7918,1.31454,-0.797903
1,165340,-13,1,119.935,-24.4337,67.9782,95.7417,1.09384,1.91585,11,-1,86.1787,-71.7013,-20.2264,43.3195,0.552873,-2.86664,11,-1,45.0278,1.47853,-38.6622,23.0337,0.564819,-1.53257,-11,1,22.3798,11.389,-10.9187,15.8722,0.885612,-0.76432
1,69304,13,-1,34.8096,-12.4294,9.36606,-31.1366,-1.44393,2.49583,13,-1,7.83958,1.87749,5.61656,-5.13587,-0.784321,1.2482,-11,1,109.448,28.3184,-54.1878,-90.778,-1.18626,-1.08923,11,-1,25.5911,1.37028,18.3022,-17.8342,-0.861226,1.49607
1,73844,-13,1,82.7247,52.8684,-5.22133,-63.4117,-1.01188,-0.0984417,13,-1,31.1289,15.9096,17.7113,-20.0547,-0.765406,0.838936,-11,1,24.756,-17.7341,16.9949,3.08812,0.125395,2.37748,11,-1,15.0462,-11.2098,9.53774,3.12397,0.210689,2.43661
