Run,Event,PID1,Q1,E1,px1,py1,pz1,eta1,phi1,PID2,Q2,E2,px2,py2,pz2,eta2,phi2,PID3,Q3,E3,px3,py3,pz3,eta3,phi3,PID4,Q4,E4,px4,py4,pz4,eta4,phi4
194631,301054150,11,-1,150.697,31.3931,-14.3208,-146.694,-2.15394,-0.42798,11,-1,31.144,18.876,-12.8485,-21.1794,-0.8292,-0.597641,-11,1,12.9826,9.60115,8.65148,1.23239,0.0952126,0.733416,-11,1,8.51443,5.58307,-4.51444,-4.57654,-0.600639,-0.679959
195552,154413551,-13,1,42.062,9.34399,1.72973,40.9744,2.1677,0.183045,13,-1,24.6598,5.42028,1.47876,24.011,2.15903,0.266339,-11,1,83.9752,-54.4722,-4.78872,63.7314,0.993688,-3.05391,11,-1,130.466,15.2669,23.9229,127.342,2.20656,1.00278
194897,96142912,13,-1,88.7914,15.3545,22.9624,-84.3852,-1.83566,0.9814,-13,1,43.1732,-24.0624,0.932226,-35.8336,-1.18813,3.10287,11,-1,112.493,-61.0212,3.29764,-94.4466,-1.21975,3.0876,11,-1,32.4159,-4.85618,-19.7569,-25.2364,-1.0416,-1.81181
195013,525948995,13,-1,11.3988,-0.49713,-10.2631,-4.934,-0.463422,-1.6192,-13,1,10.213,-0.57891,-9.13113,-4.53671,-0.477492,-1.63411,11,-1,51.9095,9.34203,39.4111,-32.4667,-0.733905,1.33805,-11,1,33.8841,-2.24311,-29.6847,-16.1839,-0.519904,-1.64622
194429,654212029,13,-1,29.2325,-2.79232,-4.8616,-28.6896,-2.33518,-2.09215,-13,1,20.1902,1.89744,4.98401,-19.4729,-2.00651,1.20703,-11,1,42.5516,9.52449,40.3927,-9.39949,-0.224598,1.33923,-11,1,73.9538,-21.8832,-28.6844,-64.5561,-1.34524,-2.2225
194108,394007716,13,-1,85.9103,-62.5533,-23.898,53.8195,0.735571,-2.77666,-13,1,33.6828,30.6483,-12.9054,5.35285,0.160279,-0.398548,-11,1,81.8004,25.4106,68.5647,36.6672,0.482511,1.21588,11,-1,28.7354,7.99573,-11.8084,-24.947,-1.32557,-0.97559
195649,323790844,-13,1,86.6285,59.5887,37.5242,-50.454,-0.666115,0.561986,13,-1,19.3051,-8.8004,-4.01701,16.706,1.31439,-2.71338,11,-1,40.872,-37.7927,-10.9441,11.066,0.277672,-2.85972,-11,1,75.0117,-1.13507,-13.6193,-73.7562,-2.38744,-1.65395
194119,168130224,11,-1,66.6019,14.5316,55.6719,-33.5452,-0.554208,1.31547,11,-1,78.7675,-3.53318,49.9601,-60.7933,-1.02478,1.6414,-11,1,114.544,-23.6287,-33.877,-106.838,-1.67895,-2.17983,-11,1,102.678,8.01567,-25.4597,-99.1484,-2.02306,-1.26578
200368,37586909,11,-1,69.3905,41.8459,-14.6774,53.3717,1.01824,-0.337342,-11,1,99.5602,-22.1803,1.8404,97.0407,2.17854,3.05881,-11,1,11.2391,-6.85602,2.78129,8.46025,0.979281,2.75621,11,-1,10.8963,-7.10165,1.84494,8.05553,0.948916,2.88742
202469,340674577,13,-1,55.9462,-10.2779,54.7484,-5.19071,-0.0930482,1.75637,-13,1,56.7285,20.4281,-18.1541,-49.7115,-1.35963,-0.726526,-11,1,119.024,-27.0429,-53.2316,-102.965,-1.31318,-2.04084,11,-1,41.1676,27.3142,20.9911,-22.5406,-0.614851,0.65524
200188,309219190,13,-1,267.534,37.3929,70.8584,255.256,1.87566,1.08522,-13,1,61.7703,34.379,39.843,32.3447,0.581326,0.858883,-11,1,90.7929,-64.378,-59.0553,-24.7245,-0.279365,-2.39929,11,-1,92.8272,3.50692,-46.5678,-80.2248,-1.30985,-1.49563
202237,93331545,-13,1,12.089,-10.1414,6.14608,-2.3472,-0.196665,2.59675,-11,1,135.905,23.9233,-57.0248,-121.021,-1.42424,-1.17357,11,-1,14.121,-12.5598,6.13124,-2.01584,-0.143736,2.68746,11,-1,15.3847,-5.41201,-8.9922,-11.2489,-0.931253,-2.11258
201727,43697222,-11,1,158.849,86.5379,-9.53531,-132.865,-1.20916,-0.109744,11,-1,73.051,-42.2094,57.2146,-16.7722,-0.233763,2.2064,11,-1,159.411,15.8922,-63.9054,-145.174,-1.53154,-1.32706,-11,1,112.454,-57.2814,7.83265,-96.454,-1.28465,3.0057
199008,748061762,11,-1,54.4819,-32.4948,13.3168,41.6537,1.00706,2.75266,-11,1,24.2826,20.1755,-5.1513,-12.4924,-0.568774,-0.249984,11,-1,9.35461,8.44114,-3.48202,-2.03256,-0.220799,-0.39124,-11,1,8.29793,7.49674,-3.07295,-1.79205,-0.219418,-0.389016
201625,845122892,-13,1,120.493,-18.8874,-105.261,-55.516,-0.49825,-1.74834,13,-1,26.1353,25.7419,-1.04655,4.39357,0.169721,-0.0406332,11,-1,120.663,-21.1482,115.669,-27.0728,-0.228251,1.75163,-11,1,21.7849,17.3305,-6.25746,11.6224,0.595037,-0.346499
202075,106377554,13,-1,16.3119,5.56798,14.7166,-4.29982,-0.269979,1.20909,-13,1,7.82708,-2.43347,6.24114,-4.04702,-0.572374,1.94257,-11,1,39.5208,14.3534,-33.6234,-15.0114,-0.399865,-1.16733,11,-1,30.1505,-17.1151,24.6654,-2.78304,-0.0925684,2.17741
202093,53125147,13,-1,81.4439,-63.4493,3.53807,-50.9388,-0.733903,3.08589,-13,1,37.1951,22.509,-29.0127,-5.92246,-0.160594,-0.910966,11,-1,186.42,15.3862,60.0218,-175.821,-1.76578,1.31986,-11,1,113.855,18.9524,-36.6121,-106.129,-1.67447,-1.09312
198969,1274177051,-13,1,23.6475,-14.171,-3.00141,-18.6913,-1.07256,-2.93288,13,-1,20.5051,-13.0615,-2.37597,-15.6268,-1.00122,-2.96165,-11,1,72.1182,39.0017,19.6917,-57.3771,-1.0865,0.467555,11,-1,17.6548,-10.361,-12.5489,-6.84595,-0.409169,-2.26099
199877,30975991,13,-1,167.601,67.0548,-2.57291,-153.581,-1.56576,-0.0383515,-13,1,243.643,-7.01773,-45.6417,-239.227,-2.34724,-1.72336,-11,1,179.385,-26.1963,46.2232,-171.337,-1.88725,2.0864,11,-1,23.6455,-23.5987,0.695815,-1.31431,-0.0556412,3.11212
201196,134355928,-13,1,50.2063,47.4411,9.31226,13.5383,0.276491,0.193827,13,-1,46.543,-37.1062,-22.8253,16.3821,0.3677,-2.59012,11,-1,79.7758,-31.3442,17.2048,-71.3142,-1.44117,2.6396,-11,1,32.15,26.11,-16.1147,9.6025,0.308068,-0.55296
201196,330062971,13,-1,120.686,-66.2855,-45.3563,-90.0785,-0.964749,-2.54151,-13,1,12.0209,-2.61605,-6.88162,-9.50214,-1.07276,-1.93407,11,-1,73.3209,14.1351,-33.0884,-63.8851,-1.33849,-1.16707,-11,1,59.1751,-11.55,-7.13312,-57.5969,-2.15199,-2.58834
201802,97011195,13,-1,26.7365,-17.6257,-0.344108,20.1009,0.97713,-3.12207,-13,1,12.2477,-7.9001,0.608977,9.33876,1.00221,3.06466,11,-1,57.8909,0.00600082,34.6295,46.3914,1.1024,1.57062,-11,1,18.9017,10.7223,-15.0947,-3.80208,-0.20393,-0.953167
199008,684252658,-13,1,39.3462,-23.9396,3.068,-31.074,-1.0708,3.01413,13,-1,27.1478,-16.287,3.12341,-21.4935,-1.07605,2.95212,-11,1,80.6252,25.2018,-1.46051,-76.5712,-1.8289,-0.0578877,11,-1,23.8169,18.2691,-1.77274,-15.1771,-0.753512,-0.096732
202178,1447415046,-13,1,46.0692,-16.6862,40.0132,-15.5845,-0.352154,1.96589,-11,1,250.811,4.76702,-116.63,221.993,1.39884,-1.52995,11,-1,82.3837,22.0506,69.8183,-37.7658,-0.4953,1.26488,-11,1,11.7304,11.0866,-2.24297,3.10766,0.271398,-0.199619
202333,186876217,-13,1,17.4534,12.6791,-11.2889,4.05089,0.23641,-0.727459,13,-1,13.0335,8.97489,-8.21266,4.67604,0.375487,-0.741079,-11,1,49.8141,23.334,33.8423,28.1366,0.6399,0.967159,11,-1,32.2879,-20.6444,-20.3545,14.2132,0.47248,-2.36326
199877,688051365,13,-1,14.1255,10.1038,-1.86966,9.69205,0.840661,-0.182976,-13,1,8.28848,5.84183,-0.717855,5.83484,0.875243,-0.122269,11,-1,64.617,30.4012,-1.94756,56.9853,1.38423,-0.0639744,-11,1,24.0829,-22.3132,9.02709,-0.78917,-0.0327806,2.75716
194644,140255917,13,-1,36.1187,-1.76812,-9.3717,34.8367,2.00687,-1.75727,-13,1,26.3724,-1.19928,-6.67346,25.4856,2.03447,-1.74861,-11,1,54.9089,7.62466,40.3587,36.4422,0.79937,1.38407,11,-1,66.2408,3.34095,-20.1301,63.0196,1.84603,-1.40633
196218,446438292,-13,1,137.024,-37.2738,-44.1624,124.241,1.50872,-2.27181,13,-1,181.507,42.2674,-4.69711,176.454,2.13027,-0.110674,11,-1,193.454,-19.3073,84.9565,172.725,1.4358,1.79426,-11,1,32.7055,19.7042,-15.6066,20.9244,0.757805,-0.66987
