Run,Event,PID1,Q1,E1,px1,py1,pz1,eta1,phi1,PID2,Q2,E2,px2,py2,pz2,eta2,phi2,PID3,Q3,E3,px3,py3,pz3,eta3,phi3,PID4,Q4,E4,px4,py4,pz4,eta4,phi4
173198,1053695987,13,-1,68.2038,-6.6043,-61.8819,-27.9062,-0.434601,-1.67712,-11,1,239.499,-28.9089,75.9654,-225.285,-1.74367,1.93443,-11,1,100.214,-44.5913,63.1655,63.7545,0.751733,2.1855,11,-1,142.532,45.2938,8.93003,-134.848,-1.79315,0.194661
165570,83002804,13,-1,17.9211,2.36974,7.53184,-16.0875,-1.46027,1.26597,-13,1,17.3006,2.15267,7.08633,-15.6349,-1.49224,1.27588,-11,1,36.0396,-9.35183,-34.7926,0.936103,0.0259801,-1.83338,11,-1,42.0976,5.69377,17.6273,-37.803,-1.46171,1.25837
166565,689490445,11,-1,120.652,19.4993,19.2371,-117.502,-2.16269,0.778631,-11,1,36.0963,-20.7405,-8.98518,-28.1433,-1.04453,-2.73278,11,-1,27.0023,-18.1789,-11.0171,-16.6517,-0.719621,-2.59675,-11,1,14.4385,-8.3375,-5.26161,-10.5485,-0.929979,-2.57863
167898,1690626261,13,-1,268.745,34.3055,-45.6907,-262.601,-2.22998,-0.92677,-13,1,44.8672,14.2969,27.263,-32.6402,-0.923368,1.08781,-11,1,241.474,4.09676,-54.4599,-235.217,-2.16658,-1.49571,-11,1,177.494,-22.3765,34.188,-172.727,-2.14842,2.15034
163334,286336207,-13,1,50.4618,43.9348,20.2387,-14.3703,-0.292873,0.431677,13,-1,50.4224,-38.4343,-24.9245,-21.071,-0.445133,-2.56627,-11,1,56.1417,-17.1982,-26.2035,-46.5778,-1.187,-2.15161,11,-1,30.1759,17.8132,22.5284,-9.25975,-0.317075,0.901751
163758,113529826,-11,1,112.039,-19.2226,25.6749,107.35,1.92281,2.21346,11,-1,26.6863,6.94914,-23.0538,11.506,0.461317,-1.27803,-11,1,10.1663,2.352,-9.35977,-3.19643,-0.325435,-1.32461,11,-1,12.2376,3.98114,6.14426,9.80604,1.10224,0.995867
166408,1041244629,-13,1,74.4485,36.6417,28.0386,-58.4276,-1.05776,0.653164,13,-1,11.215,5.52481,4.24136,-8.78928,-1.05501,0.654729,-11,1,189.964,-58.5897,-44.8227,-175.055,-1.59901,-2.48854,11,-1,17.3483,15.2154,8.30668,-0.673471,-0.0388401,0.49972
172802,375002589,-13,1,25.2633,-8.72442,17.1644,16.3552,0.770799,2.04105,13,-1,18.2126,-5.68963,12.7354,11.7101,0.763228,1.99095,11,-1,49.588,33.1954,-31.7291,-18.7162,-0.397065,-0.762818,-11,1,22.4142,-8.20998,14.1233,15.3467,0.837888,2.09736
172952,469870761,13,-1,16.1893,14.9525,-0.34214,6.19578,0.403239,-0.0228778,-13,1,7.53772,7.00112,-0.134216,2.78788,0.3883,-0.0191683,-11,1,125.619,-31.3077,8.54928,121.354,2.02946,2.87502,11,-1,12.8177,11.8453,4.24866,2.43531,0.192333,0.344385
172952,842265702,-11,1,87.628,41.7576,11.5591,-76.1667,-1.32982,0.270053,11,-1,37.9247,-20.5105,24.6846,-20.2058,-0.59403,2.2641,-11,1,11.3639,-6.93362,6.40937,-6.32315,-0.627642,2.39546,11,-1,26.6822,-0.119199,-9.07494,-25.0912,-1.74127,-1.58393
163659,344708580,11,-1,61.6886,-50.3627,-15.4488,32.1002,0.576831,-2.84395,-11,1,44.3136,40.6614,-15.9374,7.50629,0.171039,-0.37355,-11,1,26.7699,-0.250656,26.4523,4.10358,0.154509,1.58027,11,-1,18.1029,-13.5592,1.03685,11.9494,0.792955,3.06527
172868,1679112995,13,-1,46.4514,-20.7469,-14.1725,39.0695,1.22488,-2.54229,-13,1,15.6523,-6.95408,-4.90035,13.1381,1.21911,-2.52774,11,-1,157.079,32.6744,20.7019,152.242,2.07904,0.564747,-11,1,13.3883,-7.12517,-5.8998,9.67838,0.913689,-2.45
172014,148597565,13,-1,19.1718,18.8254,-2.69936,-2.42199,-0.127011,-0.142419,-13,1,8.70174,8.53322,-1.42311,-0.931679,-0.107488,-0.165252,11,-1,49.4584,-43.5103,10.5374,-21.0226,-0.453847,2.90399,-11,1,17.2818,13.7158,-8.48901,-6.20267,-0.375639,-0.554218
167898,1630441711,13,-1,71.7483,16.4491,-18.4537,-67.355,-1.72758,-0.842771,-13,1,22.9804,4.98359,-8.85037,-20.6137,-1.45675,-1.05796,11,-1,28.9275,-25.0967,9.91586,-10.4225,-0.377229,2.76531,-11,1,25.3909,6.49994,17.8861,-16.8088,-0.79637,1.22223
172952,1440032109,13,-1,47.1328,-11.2821,5.27428,-45.4575,-2.00613,2.70429,-13,1,30.5597,-4.44713,-3.60825,-30.0181,-2.35877,-2.45996,-11,1,185.72,22.713,39.0019,-180.152,-2.09266,1.04345,11,-1,31.5871,3.38169,-28.0595,-14.1059,-0.480408,-1.45086
172868,-2061758858,-11,1,42.929,-17.1309,33.3182,20.9602,0.533763,2.04571,11,-1,23.665,7.33229,-15.0816,-16.6978,-0.878344,-1.11827,-11,1,14.6398,4.29779,-9.89386,-9.89777,-0.821866,-1.161,11,-1,12.9175,1.89749,-7.63036,-10.2489,-1.08056,-1.32706
172024,18310418,13,-1,7.9315,-3.14092,-5.98566,4.14777,0.580454,-2.05404,-13,1,6.10778,-2.56102,-5.42596,1.13754,0.188472,-2.01179,-11,1,56.0717,29.0086,9.19983,47.0946,1.22083,0.307108,11,-1,23.529,-16.0399,0.966542,-17.1873,-0.929736,3.08141
166888,73670468,-13,1,14.6458,-0.147172,-14.6188,-0.870537,-0.0595112,-1.58086,13,-1,8.89583,0.988891,-8.71078,-1.50631,-0.170987,-1.45776,11,-1,39.1492,-16.5955,35.4395,-1.1362,-0.0290305,2.00874,-11,1,30.7289,17.9093,-8.1169,23.6144,1.01659,-0.425532
172799,10347106,11,-1,215.87,-9.38901,113.027,183.675,1.25926,1.65367,11,-1,97.8731,9.27214,-95.3894,19.8505,0.20567,-1.4739,-11,1,49.552,-39.9507,9.24934,27.817,0.634832,2.91408,-11,1,51.3601,34.2592,-20.8718,-32.0709,-0.732237,-0.54718
172399,107067575,-13,1,31.2197,6.83491,-4.99898,30.0492,1.97898,-0.631484,13,-1,22.7934,4.80281,-3.70674,21.971,1.99857,-0.657299,11,-1,55.8175,33.4375,21.9989,38.9047,0.861438,0.581916,-11,1,124.722,-17.8834,-14.5403,122.574,2.37299,-2.45894
172949,1188043146,13,-1,57.7394,-54.0647,7.237,-18.9331,-0.34048,3.00853,-13,1,37.984,32.342,-19.4447,4.32089,0.11425,-0.541315,-11,1,71.8983,67.0767,-20.2283,-16.1524,-0.228555,-0.292897,11,-1,39.9942,-23.7839,-0.486177,-32.15,-1.10945,-3.12115
172401,3729470,-13,1,48.5643,-40.5716,-22.7848,-13.9024,-0.294497,-2.62989,13,-1,79.4437,30.9827,-0.575343,-73.1508,-1.59418,-0.0185677,-11,1,79.8732,45.8974,11.8758,-64.2816,-1.11208,0.253193,11,-1,40.0327,-36.8614,-10.6502,-11.4204,-0.293418,-2.86033
171578,354330879,-13,1,6.42545,4.07255,4.66579,1.70877,0.272527,0.853184,13,-1,6.20887,3.9195,4.69864,1.04844,0.170519,0.87556,11,-1,41.1864,4.66,40.7857,-3.33578,-0.0811702,1.45703,-11,1,59.4282,-12.3422,-5.62763,-57.8594,-2.15716,-2.71379
173439,784633658,-13,1,41.177,13.2821,20.7572,32.9887,1.10181,1.00157,13,-1,11.7563,3.77431,5.95314,9.40822,1.09945,1.00575,11,-1,154.597,65.4191,72.4919,119.856,1.03343,0.836639,-11,1,71.0854,-20.2566,55.1716,39.9864,0.6365,1.92267
